报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
货币资金(万元),4827420.0,1793125.0,1291002.0,748288.0,1649732.0,1343551.0,1287677.0,940537.0,637141,464515.0,322396
结算备付金(万元),,,,,,,,,0,0.0,0
拆出资金(万元),,,,,,,,,0,0.0,0
交易性金融资产(万元),,,,,75957.0,23155.0,19543.0,17222.0,38840,29102.0,15742
衍生金融资产(万元),35333.0,41281.0,15882.0,16251.0,,,,,0,0.0,0
应收票据(万元),1085423.0,742749.0,1288915.0,1709723.0,1415053.0,1238642.0,1026595.0,555399.0,762139,308665.0,152378
应收账款(万元),1752872.0,1345451.0,1037172.0,936210.0,792844.0,986457.0,990316.0,691110.0,692758,404667.0,228236
预付款项(万元),167225.0,158737.0,98863.0,141447.0,243242.0,180248.0,306795.0,470572.0,186963,126842.0,108420
应收保费(万元),,,,,,,,,0,0.0,0
应收分保账款(万元),,,,,,,,,0,0.0,0
应收分保合同准备金(万元),,,,,,,,,0,0.0,0
应收利息(万元),,,,,,,,,0,0.0,0
应收股利(万元),,,,4594.0,2586.0,,,8475.0,0,180.0,3437
其他应收款(万元),265757.0,114013.0,110134.0,118077.0,102540.0,112135.0,250910.0,218425.0,134856,55833.0,34603
应收出口退税(万元),,,,,,,,,0,0.0,0
应收补贴款(万元),,,,,,,,,0,0.0,0
应收保证金(万元),,,,,,,,,0,0.0,0
内部应收款(万元),,,,,,,,,0,0.0,0
买入返售金融资产(万元),,,,,,,,,0,0.0,0
存货(万元),2944417.0,1562690.0,1044894.0,1502003.0,1519772.0,1335000.0,1634330.0,1974998.0,1053682,724576.0,946856
待摊费用(万元),,,,,,,,,0,0.0,0
待处理流动资产损益(万元),,,,,,,,,0,0.0,0
一年内到期的非流动资产(万元),,,,,,,,,0,0.0,0
其他流动资产(万元),4684727.0,4352960.0,3382758.0,2659389.0,46311.0,212925.0,94146.0,43268.0,26555,25763.0,19767
流动资产合计(万元),16981068.0,12062132.0,9336771.0,8642707.0,6532673.0,5556219.0,6004658.0,4920006.0,3532934,2140143.0,1831834
发放贷款及垫款(万元),1217895.0,1027340.0,660871.0,594080.0,510009.0,40951.0,110854.0,,0,0.0,0
可供出售金融资产(万元),183105.0,518773.0,328995.0,165549.0,107.0,78.0,1581.0,101.0,103,749.0,98
持有至到期投资(万元),,,,,,,,,0,0.0,0
长期应收款(万元),36225.0,3387.0,,,,,,24.0,6,5449.0,2333
长期股权投资(万元),263370.0,221173.0,288827.0,95187.0,175580.0,170977.0,176775.0,176689.0,171124,55353.0,33017
其他长期投资(万元),,,,,,,,,0,0.0,49514
投资性房地产(万元),42080.0,49412.0,15080.0,17163.0,20583.0,8439.0,11845.0,53564.0,36492,41583.0,0
固定资产原值(万元),4015832.0,3621123.0,3161360.0,3132348.0,2965435.0,2882650.0,2446685.0,1680170.0,1253483,1136376.0,818012
累计折旧(万元),1753133.0,1513567.0,1286831.0,1178292.0,1005672.0,855766.0,695142.0,493876.0,393369,382601.0,287973
固定资产净值(万元),2262699.0,2107556.0,1874529.0,1954057.0,1959763.0,2026884.0,1751543.0,1186294.0,860114,753776.0,530039
固定资产减值准备(万元),2626.0,1877.0,1541.0,1875.0,2547.0,1631.0,2549.0,1852.0,1970,1239.0,1229
固定资产(万元),2260072.0,2105679.0,1872988.0,1952181.0,1957216.0,2025253.0,1748993.0,1184442.0,858144,752536.0,528810
在建工程(万元),87958.0,58073.0,95476.0,66188.0,61260.0,160070.0,297875.0,146818.0,63253,73516.0,48339
工程物资(万元),,,,,,,,,0,0.0,0
固定资产清理(万元),,,,,,,1785.0,1784.0,1784,1784.0,0
生产性生物资产(万元),,,,,,,,,0,0.0,0
公益性生物资产(万元),,,,,,,,,0,0.0,0
油气资产(万元),,,,,,,,,0,0.0,0
无形资产(万元),1516704.0,686854.0,339240.0,343196.0,332574.0,367219.0,320128.0,233966.0,198501,186099.0,114187
开发支出(万元),,,,,,,,261.0,113,0.0,0
商誉(万元),2890379.0,573100.0,239307.0,293179.0,293100.0,347303.0,329589.0,236673.0,231202,252424.0,72094
长期待摊费用(万元),85911.0,62597.0,78136.0,75858.0,64788.0,58874.0,66475.0,39479.0,22332,28236.0,21984
股权分置流通权(万元),,,,,,,,,0,0.0,0
递延所得税资产(万元),402333.0,303038.0,222400.0,377999.0,256720.0,79221.0,72245.0,92078.0,90258,51992.0,39902
其他非流动资产(万元),61482.0,415853.0,66973.0,,,,2566.0,10149.0,336,0.0,0
非流动资产合计(万元),7829618.0,4997939.0,3547423.0,3386501.0,3161929.0,3217434.0,3029856.0,2176030.0,1673649,1449723.0,910277
资产总计(万元),24810686.0,17060071.0,12884194.0,12029209.0,9694602.0,8773653.0,9034514.0,7096036.0,5206583,3589866.0,2742111
短期借款(万元),258410.0,302443.0,392093.0,607088.0,887217.0,508209.0,586943.0,511051.0,189704,361111.0,330533
向中央银行借款(万元),,,,,8971.0,,,,0,0.0,0
吸收存款及同业存放(万元),10893.0,3671.0,5200.0,749.0,6.0,62.0,,,0,0.0,0
拆入资金(万元),,,,,,,,,0,0.0,0
交易性金融负债(万元),,,,,1126.0,2207.0,485.0,756.0,87,2213.0,0
衍生金融负债(万元),9043.0,8984.0,3338.0,7496.0,,,,,0,0.0,0
应付票据(万元),2520779.0,1848494.0,1707852.0,1264850.0,630848.0,924339.0,1064479.0,914912.0,461964,452194.0,446412
应付账款(万元),3514478.0,2535696.0,1744868.0,2013745.0,1750810.0,1577360.0,1769812.0,1606029.0,1396963,780921.0,727458
预收账款(万元),1740906.0,1025238.0,561636.0,399254.0,498335.0,357015.0,603197.0,419801.0,325163,136949.0,152641
卖出回购金融资产款(万元),,,65178.0,,,,,,0,0.0,0
应付手续费及佣金(万元),,,,,,,,,0,0.0,0
应付职工薪酬(万元),524750.0,315439.0,222933.0,219978.0,196884.0,133010.0,108556.0,117196.0,81653,61157.0,52467
应交税费(万元),354415.0,236445.0,160718.0,328015.0,102802.0,91764.0,-107073.0,-40701.0,35450,6454.0,-36123
应付利息(万元),9480.0,2134.0,934.0,2291.0,6982.0,19014.0,21665.0,391.0,130,0.0,0
应付股利(万元),9532.0,10564.0,11885.0,9380.0,9405.0,7291.0,484.0,4013.0,366,29838.0,5670
其他应交款(万元),,,,,,,,,0,0.0,0
应付保证金(万元),,,,,,,,,0,0.0,0
内部应付款(万元),,,,,,,,,0,0.0,0
其他应付款(万元),317041.0,157142.0,113931.0,122355.0,148778.0,246932.0,152961.0,114976.0,75455,43463.0,21154
预提费用(万元),,,,,,,,,0,0.0,0
预计流动负债(万元),,,,,,,,,0,0.0,0
应付分保账款(万元),,,,,,,,,0,0.0,0
保险合同准备金(万元),,,,,,,,,0,0.0,0
代理买卖证券款(万元),,,,,,,,,0,0.0,0
代理承销证券款(万元),,,,,,,,,0,0.0,0
国际票证结算(万元),,,,,,,,,0,0.0,0
国内票证结算(万元),,,,,,,,,0,0.0,0
递延收益(万元),,,,,,,,,0,0.0,0
应付短期债券(万元),,,,,,,,,200000,0.0,0
一年内到期的非流动负债(万元),13661.0,15855.0,,61190.0,161737.0,394483.0,77522.0,26388.0,18072,0.0,0
其他流动负债(万元),2625799.0,2456297.0,2209818.0,2277894.0,1260838.0,819330.0,947889.0,556114.0,482724,512878.0,142690
流动负债合计(万元),11909186.0,8918400.0,7200385.0,7314285.0,5664738.0,5081016.0,5226920.0,4230926.0,3267730,2387176.0,1842902
长期借款(万元),3298633.0,225435.0,9006.0,1921.0,71146.0,238847.0,331322.0,227149.0,260338,70571.0,40500
应付债券(万元),455305.0,481877.0,,15303.0,15272.0,114925.0,447848.0,357881.0,0,0.0,0
长期应付款(万元),24804.0,36688.0,,,,,,,0,0.0,0
专项应付款(万元),250.0,241.0,50.0,85183.0,5207.0,1259.0,,,0,0.0,0
预计非流动负债(万元),33074.0,32522.0,3889.0,2557.0,3347.0,2461.0,2184.0,1992.0,1121,1854.0,0
长期递延收益(万元),53644.0,50232.0,47935.0,34224.0,,,,,0,,0
递延所得税负债(万元),397282.0,183197.0,4046.0,2592.0,12380.0,8616.0,4416.0,7534.0,8695,5516.0,0
其他非流动负债(万元),99406.0,88815.0,15719.0,,14456.0,9979.0,7267.0,15737.0,10585,9734.0,1743
非流动负债合计(万元),4608983.0,1244002.0,80646.0,141778.0,121808.0,376088.0,793037.0,610293.0,280739,87676.0,42243
负债合计(万元),16518169.0,10162402.0,7281031.0,7456063.0,5786546.0,5457104.0,6019957.0,4841219.0,3548469,2474852.0,1885146
实收资本(或股本)(万元),656105.0,645877.0,426684.0,421581.0,168632.0,100000.0,100000.0,100000.0,100000,100000.0,100000
资本公积(万元),1591150.0,1359657.0,1451119.0,1302488.0,1562079.0,303731.0,247050.0,217111.0,179666,26256.0,60638
减:库存股(万元),36684.0,,,,,,,,0,0.0,0
专项储备(万元),,,,,,,,,0,0.0,0
盈余公积(万元),388223.0,280447.0,184652.0,118979.0,56954.0,6644.0,24025.0,12593.0,2191,0.0,0
一般风险准备(万元),36695.0,14860.0,11862.0,,,,,,0,0.0,0
未确定的投资损失(万元),,,,,,,,,0,0.0,0
未分配利润(万元),4762724.0,3810539.0,2952983.0,2181432.0,1530499.0,1049064.0,900375.0,768390.0,489297,390816.0,241118
拟分配现金股利(万元),,,,,,,,,0,0.0,0
外币报表折算差额(万元),,,,,-33422.0,-28086.0,-22021.0,5191.0,3791,632.0,2917
归属于母公司股东权益合计(万元),7373744.0,6112692.0,4920185.0,3947050.0,3284743.0,1431353.0,1249428.0,1103285.0,774945,517704.0,404673
少数股东权益(万元),918773.0,784977.0,682977.0,626096.0,623313.0,1885195.0,1765129.0,1151531.0,883169,597311.0,452292
所有者权益(或股东权益)合计(万元),8292517.0,6897670.0,5603162.0,4573146.0,3908056.0,3316549.0,3014557.0,2254817.0,1658114,1115014.0,856965
负债和所有者权益(或股东权益)总计(万元),24810686.0,17060071.0,12884194.0,12029209.0,9694602.0,8773653.0,9034514.0,7096036.0,5206583,3589866.0,2742111
